Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183511,18351,"Ketchup, canned tomato based sauces and pastes, pickles and other pickled products","Ketchup, sauces et pâtes à base de tomates, marinades et autres produits de marinade en conserve","This subclass comprises ketchup, canned tomato based sauces and pastes, pickles and other pickled products.","Cette sous-classe comprend le ketchup, les sauces et les pâtes à base de tomates, les marinades et les autres produits de marinade en conserve."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835111,183511,Ketchup and other canned tomato based sauces and pastes,"Ketchup et autres sauces et pâtes à base de tomates, en conserve",Ketchup and other canned tomato based sauces and pastes.,"Ketchup et autres sauces et pâtes à base de tomates, en conserve."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835112,183511,Pickled vegetables and fruit,Fruits et légumes marinés,"Vegetables and fruit pickled in vinegar or acetic acid, or provisionally preserved in brine, sulphur or other preservative solutions.","Légumes et fruits marinés dans du vinaigre ou de l'acide acétique, ou conservés provisoirement dans de la saumure, de l'eau soufrée ou une autre solution de conservation."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183512,18351,"Canned preserves, infant foods, and specialty foods","Fruits transformés, aliments pour bébés et spécialités alimentaires, en conserve","This subclass comprises canned preserves, infant foods, and specialty foods (including peanut butter and other nut butters).","Cette sous-classe comprend les fruits transformés, les aliments pour bébés et les spécialités alimentaires (y compris le beurre d'arachides et autres beurres de noix), en conserve."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835121,183512,"Preserved jams, jellies and purees","Confitures, gelées et purées en conserve","Preserved jams, jellies and purees in sealed cans or other airtight containers.","Confitures, gelées et purées en conserve dans des boîtes serties et autres récipients hermétiquement clos."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835122,183512,Preserved infant foods,Aliments en conserve pour bébés,Preserved infant foods in sealed cans or other airtight containers.,Aliments en conserve pour bébés dans des boîtes serties et autres récipients hermétiquement clos.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835123,183512,"Canned foods, n.e.c.","Aliments en conserve, n.c.a.","Preserved foods in sealed cans or other airtight containers, n.e.c.","Aliments en conserve dans des boîtes serties et autres récipients hermétiquement clos, n.c.a."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835124,183512,"Peanut butter, and other nut butters and pastes","Beurre d'arachides, et autres beurres et pâtes de noix","Peanut butter, and other nut butters and pastes.","Beurre d'arachides, et autres beurres et pâtes de noix."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183513,18351,Canned soups and stews (except seafood),Soupes et ragoûts en conserve (sauf de poissons et fruits de mer),"This subclass comprises preserved soups and stews in sealed cans or other airtight containers, except seafood.","Cette sous-classe comprend les soupes et ragoûts en conserve, sauf de poissons et fruits de mer, dans des boîtes serties et autres récipients hermétiquement clos."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835131,183513,Canned soups and stews (except seafood),Soupes et ragoûts en conserve (sauf de poissons et fruits de mer),"Preserved soups and stews in sealed cans or other airtight containers, except seafood.","Soupes et ragoûts en conserve, sauf de poissons et fruits de mer, dans des boîtes serties et autres récipients hermétiquement clos."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183514,18351,Canned vegetables and mushrooms (except infant foods),Légumes et champignons en conserve (sauf les aliments pour bébés),"This subclass comprises preserved vegetables and mushrooms in sealed cans or other airtight containers, except infant foods.","Cette sous-classe comprend les légumes et les champignons en conserve, sauf les aliments pour bébés, dans des boîtes serties et autres récipients hermétiquement clos."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835141,183514,Canned vegetables and mushrooms (except infant foods),Légumes et champignons en conserve (sauf les aliments pour bébés),"Preserved vegetables and mushrooms in sealed cans or other airtight containers, except infant foods.","Légumes et champignons en conserve, sauf les aliments pour bébés, dans des boîtes serties et autres récipients hermétiquement clos."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183515,18351,Canned fruit (except infant foods),Fruits en conserve (sauf les aliments pour bébés),"This subclass comprises preserved fruit in sealed cans or other airtight containers, except infant foods.","Cette sous-classe comprend les fruits en conserve, sauf les aliments pour bébés, dans des boîtes serties et autres récipients hermétiquement clos."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835151,183515,Canned fruit (except infant foods),Fruits en conserve (sauf les aliments pour bébés),"Preserved fruit in sealed cans or other airtight containers, except infant foods.","Fruits en conserve, sauf les aliments pour bébés, dans des boîtes serties et autres récipients hermétiquement clos."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183516,18351,"Dried fruit, vegetables, soup mixes, and bouillon","Fruits, légumes, mélanges à soupe, et bouillons, séchés","This subclass comprises dried fruit, vegetables, soup mixes, and bouillon.","Cette sous-classe comprend les fruits, les légumes, les mélanges à soupe, et les bouillons, séchés."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835161,183516,"Dried fruit, vegetables, soup mixes, and bouillon, not prepared for retail sale","Fruits, légumes, mélanges à soupe et bouillons, séchés, non préparés pour la vente au détail","Dried fruit, vegetables, soup mixes, and bouillon, not prepared for retail sale.","Fruits, légumes, mélanges à soupe et bouillons, séchés, non préparés pour la vente au détail."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835162,183516,"Dried fruit, vegetables, soup mixes, and bouillon, prepared for retail sale","Fruits, légumes, mélanges à soupe et bouillons, séchés, préparés pour la vente au détail","Dried fruit, vegetables, soup mixes, and bouillon, prepared for retail sale.","Fruits, légumes, mélanges à soupe et bouillons, séchés, préparés pour la vente au détail."
4,Class (five-digit codes),Classe (codes à cinq chiffres),18352,183,"Frozen foods, n.e.c.","Aliments congelés, n.c.a.","This class comprises frozen foods, n.e.c.","Cette classe comprend les aliments congelés, n.c.a."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183521,18352,Frozen vegetables,Légumes congelés,"This subclass comprises frozen vegetables, whether cooked or not. May be frozen in butter or sauce.","Cette sous-classe comprend les légumes congelés, cuits ou non cuits. Les légumes peuvent être congelés dans du beurre ou dans une sauce."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835211,183521,Frozen vegetables,Légumes congelés,"Frozen vegetables, whether cooked or not. May be frozen in butter or sauce.","Légumes congelés, cuits ou non cuits. Les légumes peuvent être congelés dans du beurre ou dans une sauce."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183522,18352,Frozen fruit,Fruits congelés,This subclass comprises frozen fruit.,Cette sous-classe comprend les fruits congelés.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835221,183522,Frozen fruit,Fruits congelés,Frozen fruit.,Fruits congelés.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183523,18352,"Frozen dinners and frozen foods, n.e.c.","Repas congelés et aliments congelés, n.c.a.","This subclass comprises frozen dinners and frozen foods, n.e.c.","Cette sous-classe comprend les repas congelés et les aliments congelés, n.c.a."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1835231,183523,"Frozen dinners and frozen foods, n.e.c.","Repas congelés et aliments congelés, n.c.a.","Frozen dinners and frozen foods, n.e.c.","Repas congelés et aliments congelés, n.c.a."
4,Class (five-digit codes),Classe (codes à cinq chiffres),18361,183,"Other food products, n.e.c.","Autres produits alimentaires, n.c.a.","This class comprises other food products, n.e.c.","Cette classe comprend les autres produits alimentaires, n.c.a."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183612,18361,Perishable prepared food,Aliments préparés périssables,"This subclass comprises perishable prepared food such as cut fresh vegetables and fruit, and fresh ready to eat meals.","Cette sous-classe comprend les aliments préparés périssables tels que les légumes et fruits frais tranchés, et les repas frais prêt à manger."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836121,183612,Perishable prepared food,Aliments préparés périssables,"Perishable prepared food such as cut fresh vegetables and fruit, and fresh ready to eat meals.","Aliments préparés périssables tels que les légumes et fruits frais tranchés, et les repas frais prêts-à-manger."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183613,18361,"Other miscellaneous food products, n.e.c.","Autres produits alimentaires divers, n.c.a.","This subclass comprises other miscellaneous food products, n.e.c.","Cette sous-classe comprend les autres produits alimentaires divers, n.c.a."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836131,183613,Liquid sweeteners and syrups (except corn sweeteners and molasses),Édulcorants liquides et sirops (sauf les édulcorants à base de maïs et la mélasse),"Liquid sweeteners and syrups, except corn sweeteners and molasses.","Édulcorants liquides et sirops, sauf les édulcorants à base de maïs et la mélasse."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836132,183613,Dry food mixtures and kits,Mélanges et trousses d'aliments secs,Dry food mixtures and kits.,Mélanges et trousses d'aliments secs.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836133,183613,"Drink powders, n.e.c.","Boissons en poudre, n.c.a.","Drink powders, n.e.c.","Boissons en poudre, n.c.a."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836134,183613,Desserts and dessert preparations (except dairy and baked goods),Desserts et préparations pour desserts (sauf les produits laitiers et de boulangerie),"Desserts and dessert preparations, except dairy and baked goods.","Desserts et préparations pour desserts, sauf les produits laitiers et de boulangerie."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836135,183613,"Baking powder and yeast, in bulk","Poudre à pâte et levure, en vrac","Baking powder and yeast, in bulk.","Poudre à pâte et levure, en vrac."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836136,183613,"Baking powder and yeast, in consumer packages","Poudre à pâte et levure, en unités de vente au détail","Baking powder and yeast, in consumer packages.","Poudre à pâte et levure, en unités de vente au détail."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836137,183613,"Dried, frozen, or liquid eggs and substitutes","Oeufs et succédanés d'oeuf en poudre, congelés ou liquides","Dried, frozen, or liquid eggs and substitutes.","Oeufs et succédanés d'oeuf en poudre, congelés ou liquides."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1836138,183613,"Processed and prepared food products, n.e.c.","Produits alimentaires transformés et préparés, n.c.a.","Processed and prepared food products, n.e.c.","Produits alimentaires transformés et préparés, n.c.a."
3,Group (three-digit codes),Groupe (codes à trois chiffres),191,C221,Coffee and tea,Café et thé,This group comprises coffee and tea.,Ce groupe comprend le café et le thé.
4,Class (five-digit codes),Classe (codes à cinq chiffres),19111,191,Coffee and tea,Café et thé,This class comprises coffee and tea.,Cette classe comprend le café et le thé.
